area_health_resource_files_release_year,occupation_name,geography_name,hispanic,white,black,asian,pacific,indigenous,other,less_than_30,30_to_39,40_to_49,50_to_59,60+,male,female,hispanic-latino_%,white_%,black-african_american_%,asian_%,native_hawaiian-other_pacific_islander_%,american_indian-alaska_native_%,other-multiple_races_%,less_than_30_%,30_to_39_%,40_to_49_%,50_to_59_%,60+_%,male_%,female_%,missing-suppressed_raceethnicity_data_comment,missing-suppressed_age_data_comment,missing-suppressed_gender_data_comment,hrsa_data_warehouse_processing_date
ACS 5-Year 2015-2019,Dentists,Iowa,,1958.0,,,,,,152.0,519.0,288.0,486.0,529.0,1478.0,496.0,,99.189,,,,,,7.7,26.292,14.59,24.62,26.798,74.873,25.127,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Kansas,,745.0,,,,,,,150.0,124.0,180.0,302.0,697.0,89.0,,94.784,,,,,,,19.084,15.776,22.901,38.422,88.677,11.323,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Kentucky,,1607.0,,46.0,,,,134.0,407.0,484.0,371.0,354.0,1165.0,585.0,,91.829,,2.629,,,,7.657,23.257,27.657,21.2,20.229,66.571,33.429,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Louisiana,89.0,2051.0,96.0,102.0,,,,181.0,670.0,320.0,376.0,791.0,1572.0,766.0,3.807,87.725,4.106,4.363,,,,7.742,28.657,13.687,16.082,33.832,67.237,32.763,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Maine,,442.0,,,,,,,215.0,,136.0,195.0,383.0,201.0,,75.685,,,,,,,36.815,,23.288,33.39,65.582,34.418,Hispanic: Supressed; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed; 40 to 49 Years Old: [No Data],,2022/03/21
ACS 5-Year 2015-2019,Dentists,Maryland,140.0,2096.0,541.0,900.0,,,,105.0,975.0,717.0,842.0,1052.0,2170.0,1521.0,3.793,56.787,14.657,24.384,,,,2.845,26.416,19.426,22.812,28.502,58.792,41.208,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Massachusetts,293.0,3641.0,,1307.0,,,131.0,347.0,1305.0,1593.0,968.0,1237.0,3066.0,2384.0,5.376,66.807,,23.982,,,2.404,6.367,23.945,29.229,17.761,22.697,56.257,43.743,Black (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Michigan,90.0,3858.0,109.0,468.0,,,,369.0,981.0,867.0,1169.0,1175.0,2947.0,1614.0,1.973,84.587,2.39,10.261,,,,8.09,21.508,19.009,25.63,25.762,64.613,35.387,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Minnesota,254.0,2375.0,,118.0,,,,426.0,696.0,589.0,478.0,558.0,1729.0,1018.0,9.246,86.458,,4.296,,,,15.508,25.337,21.442,17.401,20.313,62.941,37.059,Black (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Mississippi,,1025.0,82.0,,,,,,207.0,209.0,256.0,493.0,978.0,230.0,,84.851,6.788,,,,,,17.136,17.301,21.192,40.811,80.96,19.04,Hispanic: Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Missouri,,2041.0,,214.0,,,,151.0,472.0,429.0,433.0,848.0,1706.0,627.0,,87.484,,9.173,,,,6.472,20.231,18.388,18.56,36.348,73.125,26.875,Hispanic: Supressed; Black (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Montana,,774.0,,,,,,,154.0,458.0,155.0,146.0,606.0,,,84.775,,,,,,,16.867,50.164,16.977,15.991,66.375,,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: [No Data],Less than 30 Years Old: [No Data],Female: Supressed,2022/03/21
ACS 5-Year 2015-2019,Dentists,Nebraska,,878.0,,,,,,,194.0,182.0,233.0,155.0,697.0,230.0,,94.714,,,,,,,20.928,19.633,25.135,16.721,75.189,24.811,Hispanic: Supressed; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Nevada,235.0,1049.0,,329.0,,,,123.0,624.0,404.0,216.0,309.0,1079.0,597.0,14.021,62.589,,19.63,,,,7.339,37.232,24.105,12.888,18.437,64.379,35.621,Black (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Dentists,New Hampshire,,566.0,,,,,,,194.0,208.0,,100.0,400.0,257.0,,86.149,,,,,,,29.528,31.659,,15.221,60.883,39.117,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed; 50 to 59 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Dentists,New Jersey,276.0,4358.0,,1582.0,,,91.0,266.0,1202.0,1316.0,1890.0,1669.0,3984.0,2359.0,4.351,68.706,,24.941,,,1.435,4.194,18.95,20.747,29.797,26.312,62.809,37.191,Black (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Dentists,New Mexico,136.0,591.0,,,,,,,372.0,,198.0,313.0,923.0,69.0,13.71,59.577,,,,,,,37.5,,19.96,31.552,93.044,6.956,Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed; 40 to 49 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Dentists,New York,665.0,8034.0,649.0,1918.0,,,244.0,730.0,1440.0,2461.0,3139.0,3740.0,7564.0,3946.0,5.778,69.8,5.639,16.664,,,2.12,6.342,12.511,21.381,27.272,32.493,65.717,34.283,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Dentists,North Carolina,114.0,4144.0,499.0,405.0,,,,237.0,1400.0,1418.0,1117.0,1038.0,3778.0,1432.0,2.188,79.539,9.578,7.774,,,,4.549,26.871,27.217,21.44,19.923,72.514,27.486,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Dentists,North Dakota,,514.0,,,,,,,315.0,,,,274.0,240.0,,100.0,,,,,,,61.284,,,,53.307,46.693,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed; 40 to 49 Years Old: Supressed; 50 to 59 Years Old: Supressed; 60 or Older: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Ohio,,4399.0,290.0,293.0,,,64.0,503.0,956.0,673.0,900.0,2102.0,3906.0,1228.0,,85.684,5.649,5.707,,,1.247,9.797,18.621,13.109,17.53,40.943,76.081,23.919,Hispanic: Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Oklahoma,,1383.0,,194.0,,,93.0,181.0,600.0,196.0,277.0,510.0,1356.0,408.0,,78.401,,10.998,,,5.272,10.261,34.014,11.111,15.703,28.912,76.871,23.129,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Oregon,,2597.0,,509.0,,,91.0,437.0,947.0,711.0,507.0,653.0,2299.0,956.0,,79.785,,15.637,,,2.796,13.425,29.094,21.843,15.576,20.061,70.63,29.37,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Pennsylvania,121.0,5090.0,256.0,805.0,,,,389.0,1227.0,852.0,1311.0,2493.0,4821.0,1451.0,1.929,81.154,4.082,12.835,,,,6.202,19.563,13.584,20.902,39.748,76.865,23.135,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Rhode Island,,437.0,,,,,,,63.0,130.0,117.0,171.0,351.0,149.0,,87.4,,,,,,,12.6,26.0,23.4,34.2,70.2,29.8,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Dentists,South Carolina,92.0,1613.0,,115.0,,,,159.0,398.0,573.0,374.0,481.0,1360.0,625.0,4.635,81.259,,5.793,,,,8.01,20.05,28.866,18.841,24.232,68.514,31.486,Black (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Dentists,South Dakota,,271.0,,,,,,,,142.0,,,177.0,100.0,,97.834,,,,,,,,51.264,,,63.899,36.101,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed; 30 to 39 Years Old: Supressed; 50 to 59 Years Old: Supressed; 60 or Older: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Tennessee,,2307.0,252.0,282.0,,,,134.0,837.0,321.0,861.0,899.0,2122.0,930.0,,75.59,8.257,9.24,,,,4.391,27.425,10.518,28.211,29.456,69.528,30.472,Hispanic: Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Texas,1610.0,6985.0,722.0,3162.0,,,331.0,859.0,4470.0,2871.0,2142.0,2468.0,8039.0,4771.0,12.568,54.528,5.636,24.684,,,2.584,6.706,34.895,22.412,16.721,19.266,62.756,37.244,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Utah,,1464.0,,,,,,,344.0,644.0,208.0,324.0,1451.0,98.0,,94.513,,,,,,,22.208,41.575,13.428,20.917,93.673,6.327,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Vermont,,294.0,,,,,,,,107.0,,70.0,299.0,,,87.761,,,,,,,,31.94,,20.896,89.254,,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: [No Data]; 30 to 39 Years Old: Supressed; 50 to 59 Years Old: Supressed,Female: Supressed,2022/03/21
ACS 5-Year 2015-2019,Dentists,Virginia,129.0,2786.0,239.0,838.0,,,143.0,222.0,1193.0,980.0,658.0,1082.0,2729.0,1406.0,3.12,67.376,5.78,20.266,,,3.458,5.369,28.851,23.7,15.913,26.167,65.998,34.002,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Washington,238.0,3629.0,,1465.0,,,129.0,477.0,1666.0,1360.0,916.0,1117.0,3620.0,1916.0,4.299,65.553,,26.463,,,2.33,8.616,30.094,24.566,16.546,20.177,65.39,34.61,Black (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Dentists,West Virginia,,691.0,,,,,,,134.0,91.0,123.0,286.0,485.0,212.0,,99.139,,,,,,,19.225,13.056,17.647,41.033,69.584,30.416,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Wisconsin,,2796.0,,163.0,,,,256.0,360.0,760.0,743.0,923.0,2272.0,770.0,,91.913,,5.358,,,,8.416,11.834,24.984,24.425,30.342,74.688,25.312,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Dentists,Wyoming,,281.0,,,,,,,49.0,87.0,63.0,82.0,266.0,,,100.0,,,,,,,17.438,30.961,22.42,29.181,94.662,,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: [No Data],Female: Supressed,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Alabama,196.0,5194.0,689.0,159.0,,,,1606.0,1723.0,1420.0,1122.0,478.0,1760.0,4589.0,3.087,81.808,10.852,2.504,,,,25.295,27.138,22.366,17.672,7.529,27.721,72.279,Native Hawaiian/ Pacific Islander: Supressed; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Alaska,,766.0,,,,,,171.0,,,265.0,140.0,212.0,610.0,,93.187,,,,,,20.803,,,32.238,17.032,25.791,74.209,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],30 to 39 Years Old: Supressed; 40 to 49 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Arizona,1385.0,5517.0,345.0,258.0,,69.0,111.0,1570.0,1903.0,1830.0,1585.0,797.0,3077.0,4608.0,18.022,71.789,4.489,3.357,,0.898,1.444,20.429,24.763,23.813,20.625,10.371,40.039,59.961,Native Hawaiian/ Pacific Islander: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Arkansas,106.0,2915.0,324.0,,,,,449.0,1222.0,655.0,764.0,385.0,1053.0,2422.0,3.05,83.885,9.324,,,,,12.921,35.165,18.849,21.986,11.079,30.302,69.698,Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,California,10288.0,15816.0,2249.0,6856.0,237.0,,1456.0,5488.0,10797.0,8137.0,8086.0,4411.0,16842.0,20077.0,27.866,42.84,6.092,18.57,0.642,,3.944,14.865,29.245,22.04,21.902,11.948,45.619,54.381,American Indian/ Alaska Native: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Colorado,868.0,5048.0,,107.0,,,152.0,843.0,1947.0,1555.0,1250.0,612.0,1973.0,4234.0,13.984,81.328,,1.724,,,2.449,13.581,31.368,25.052,20.139,9.86,31.787,68.213,Black (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Connecticut,496.0,3603.0,137.0,533.0,,,,616.0,1113.0,1283.0,1088.0,734.0,1197.0,3637.0,10.261,74.535,2.834,11.026,,,,12.743,23.024,26.541,22.507,15.184,24.762,75.238,Native Hawaiian/ Pacific Islander: Supressed; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Delaware,,962.0,122.0,,,,,203.0,362.0,317.0,221.0,149.0,209.0,1043.0,,76.837,9.744,,,,,16.214,28.914,25.319,17.652,11.901,16.693,83.307,Hispanic: Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,District of Columbia,,439.0,386.0,154.0,,,,198.0,203.0,251.0,287.0,93.0,386.0,646.0,,42.539,37.403,14.922,,,,19.186,19.671,24.322,27.81,9.012,37.403,62.597,Hispanic: Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Florida,6144.0,15883.0,2632.0,836.0,,,560.0,4329.0,6623.0,5837.0,6040.0,3278.0,10124.0,15983.0,23.534,60.838,10.082,3.202,,,2.145,16.582,25.369,22.358,23.136,12.556,38.779,61.221,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Georgia,285.0,7329.0,3009.0,365.0,,,65.0,2278.0,3020.0,2701.0,2370.0,717.0,2797.0,8289.0,2.571,66.11,27.142,3.292,,,0.586,20.548,27.242,24.364,21.378,6.468,25.23,74.77,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Hawaii,,316.0,,542.0,,,213.0,197.0,360.0,233.0,192.0,,463.0,674.0,,27.792,,47.669,,,18.734,17.326,31.662,20.493,16.887,,40.721,59.279,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: Supressed; American Indian/ Alaska Native: [No Data],60 or Older: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Idaho,,1772.0,,,,,,443.0,660.0,485.0,317.0,91.0,841.0,1155.0,,88.778,,,,,,22.194,33.066,24.299,15.882,4.559,42.134,57.866,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Illinois,1244.0,11186.0,1805.0,1806.0,,,225.0,2748.0,4470.0,3665.0,3728.0,1710.0,4366.0,11955.0,7.622,68.537,11.059,11.065,,,1.379,16.837,27.388,22.456,22.842,10.477,26.751,73.249,Native Hawaiian/ Pacific Islander: Supressed; American Indian/ Alaska Native: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Indiana,327.0,6886.0,381.0,82.0,,,173.0,1472.0,2312.0,1802.0,1508.0,790.0,1375.0,6509.0,4.148,87.341,4.833,1.04,,,2.194,18.671,29.325,22.856,19.127,10.02,17.44,82.56,Native Hawaiian/ Pacific Islander: Supressed; American Indian/ Alaska Native: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Iowa,91.0,4433.0,,,,,,1294.0,1322.0,1133.0,457.0,433.0,959.0,3680.0,1.962,95.559,,,,,,27.894,28.498,24.423,9.851,9.334,20.673,79.327,Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: Supressed; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Kansas,,2653.0,,,,,,631.0,1045.0,482.0,487.0,244.0,558.0,2331.0,,91.831,,,,,,21.841,36.172,16.684,16.857,8.446,19.315,80.685,Hispanic: Supressed; Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: Supressed; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Kentucky,271.0,5382.0,168.0,49.0,,,99.0,1326.0,1890.0,1429.0,693.0,649.0,1476.0,4511.0,4.526,89.895,2.806,0.818,,,1.654,22.148,31.568,23.868,11.575,10.84,24.653,75.347,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Louisiana,307.0,4402.0,738.0,292.0,,,56.0,1347.0,1461.0,1433.0,1095.0,481.0,1780.0,4037.0,5.278,75.675,12.687,5.02,,,0.963,23.156,25.116,24.635,18.824,8.269,30.6,69.4,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Maine,,2100.0,,,,,,397.0,480.0,457.0,646.0,254.0,661.0,1573.0,,94.002,,,,,,17.771,21.486,20.457,28.917,11.37,29.588,70.412,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Maryland,362.0,4732.0,1312.0,783.0,,,202.0,1148.0,1770.0,1846.0,1521.0,1127.0,2176.0,5236.0,4.884,63.842,17.701,10.564,,,2.725,15.488,23.88,24.906,20.521,15.205,29.358,70.642,Native Hawaiian/ Pacific Islander: Supressed; American Indian/ Alaska Native: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Massachusetts,583.0,7303.0,353.0,406.0,,,134.0,1319.0,1894.0,2192.0,2169.0,1235.0,2103.0,6706.0,6.618,82.904,4.007,4.609,,,1.521,14.973,21.501,24.884,24.623,14.02,23.873,76.127,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Michigan,384.0,12084.0,798.0,550.0,,,231.0,2400.0,4052.0,3239.0,2897.0,1479.0,3678.0,10389.0,2.73,85.903,5.673,3.91,,,1.642,17.061,28.805,23.026,20.594,10.514,26.146,73.854,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Minnesota,239.0,7353.0,132.0,386.0,,,147.0,1680.0,2516.0,1740.0,1123.0,1202.0,2356.0,5905.0,2.893,89.009,1.598,4.673,,,1.779,20.337,30.456,21.063,13.594,14.55,28.52,71.48,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Mississippi,,2637.0,489.0,57.0,,,,672.0,1131.0,790.0,485.0,176.0,974.0,2280.0,,81.039,15.028,1.752,,,,20.652,34.757,24.278,14.905,5.409,29.932,70.068,Hispanic: Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Missouri,411.0,6416.0,411.0,211.0,,,,1189.0,2231.0,1629.0,1591.0,877.0,2283.0,5234.0,5.468,85.353,5.468,2.807,,,,15.817,29.679,21.671,21.165,11.667,30.371,69.629,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Montana,,1197.0,,,,,,323.0,336.0,260.0,161.0,143.0,234.0,989.0,,97.874,,,,,,26.41,27.473,21.259,13.164,11.693,19.133,80.867,Hispanic: Supressed; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Nebraska,87.0,2475.0,,,,,,705.0,950.0,453.0,240.0,252.0,589.0,2011.0,3.346,95.192,,,,,,27.115,36.538,17.423,9.231,9.692,22.654,77.346,Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Diagnostic Related Technologists & Technicians,Nevada,340.0,1697.0,,419.0,,,93.0,420.0,712.0,585.0,680.0,257.0,1090.0,1564.0,12.811,63.941,,15.787,,,3.504,15.825,26.827,22.042,25.622,9.683,41.07,58.93,Black (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed,,,2022/03/21
